Firma,Firmensitz,UID Nummer,Ansprechperson,Methode,Gewinn,Vermiedene Steuern,Quelle
XXXLutz,4600,ATU65296645,Thomas Saliger,Malta,44000000,nan,https://www.salzburg24.at/news/salzburg/grenznah/nutzt-xxxlutz-das-steuerschlupfloch-malta-57362686
XXXLutz,4600,ATU65296645,Thomas Saliger,Malta,44000000,nan,https://www.salzburg24.at/news/salzburg/grenznah/nutzt-xxxlutz-das-steuerschlupfloch-malta-57362686
